,Reviews
0,It's the most popular show in the WORLD for a reason. It's amazing. Enough said.
1,"As an avid reader, I am often disappointed by what is represented by the silver screen. I initially get excited to see one of my favorite series on the big screen, and eventually walk away disgusted. For whatever reason, most shows and movies that are based on epic book series absolutely butcher the original content.

So when I saw the preview for ""Game of Thrones"" on HBO, I was immediately skeptical. Oh, I was going to watch it, but I didn't have high expectations. I did hold a little hope because HBO is known for their high quality shows.

I was absolutely shocked to watch the Pilot and realize that it followed the book almost to perfection. The language that is used by the actors is very similar to the way that it was written in the book, and events were not skipped. It stayed very true to the story without adding to it or removing from it.

The acting is superb and I actually felt like I was looking into Winterfell for the first time. I feel like I've actually got faces to add to the characters that I've been reading about for a long time.

If you have not read the books, you may feel as though the blatant sexuality is an addition from HBO to add some spice to the series. This is not the case at all. The books contained all of the sexuality that is shown in the Pilot. I am very proud of HBO for producing an amazingly accurate product. I will be watching every week for sure.

If you enjoyed what you saw in the Pilot, know that there are many other plot twists and action filled evenings to come. ""Game of Thrones"" has a ton of potential to be one of the greatest series that has ever been produced. I would highly recommend it to fans of the series and newcomers alike.

UPDATE:

I have now watched 3 Episodes and I wanted to come back and report some more. Even after 3 Episodes, the series is staying true to the written story. Overall the acting is still very good. I hate to watch a show that makes it look like the actors are reading a script. I don't get this impression with this HBO adaptation.

Each episode of this series leaves me itching for the next weekend. I really hate watching shows in real time because I enjoy absorbing several hours of a show at one time. But, a good show will keep you looking forward to it the whole week.

A special note to viewers that have not read the books... Keep watching! This series has numerous twists and turns and full of epic battles and action. It may seem like it's taking a little while to develop, but the reward is well worth the wait.

Even after 3 episodes, I would still highly recommend this to anyone."
2,"Do not believe any of those negative reviews. I honestly cannot understand why some reviewers have given this such a low rating. I think some people love the sound of their own voice and think their opinion is worth something and will be disagreeable simply for the sake of it.

Having said that, this show is stunning. I have never read the books and now I want to. There is so much crap on TV that is renewed year after year (CSI, House etc.) which uses cheap gags, pointless and sometimes ridiculous plots, unbelievable and many times one dimensional characters and yet all the truly great shows get cancelled.

There is enough brain-dead television. But once in a while a show comes along that transports you to another world and makes you believe in the magic of television again. Game of Thrones is one such show.

It is complex, multi-layered, surreal, vibrant, imaginative and it draws your eye in to the surprising level of detail, from the sweeping vistas, to the narrow dungeons, from the beautiful castles and magnificent trees, to the contrasting landscapes. It is worth watching just for the scenery alone.

Yes the acting seems a little cold and even wooden at times, but this is perfectly in keeping with the medieval look and feel of the show. Yes it is dark and gloomy, but again in keeping with the narrative.

The scripting is intelligent and well delivered by competent acting, led by Sean Bean perfectly cast as Lord Edard. Although Sean Bean is better known for brooding bad guys, he strikes the perfect balance between father, husband and Lord and soldier. He is well supported by other well known actors and many new to the scene.

After watching and sometimes enjoying Camelot, this show makes that one look more like ""Merlin"" by comparison. And where Camelot lacks in depth and scripting, Game of Thrones strikes the perfect balance between brooding medieval angst and wonderful fantasy story telling.

Even if you have never watched a fantasy show before, you should not miss this."
3,"Ever since I've watched the last available season of GOT I haven't been able to get into any other show. I've tried countless new shows and nothing even comes close to GOT! The way the multiple story lines and characters Intertwine with one another is absolutely genius! The idea that someone created this entire world from their imagination is unbelievable. The acting is suburb and you can't help but to fall in love or despise the characters. The cinematography and CGI is stunning. You'll be completely immersed in Westeros! Wishing you could just jump in and be a part of the story! So many twist and turns and things you'd never expect. GOT is incredible and definitely worth your time! However, be warned! Once you start you won't be able to stop and TV will never be the same!"
4,"I don't believe there has ever been anything like 'Game of Thrones' on TV. The sheer amount of quality and talent in this series is staggering. The actors (and I mean really ALL the actors), the costumes, the visual effects, the make-up: everybody working on this show seems to have wanted to make Television-history. And the writing is just phenomenal.

'Game of Thrones' may belong to the 'Fantasy' genre, but the world of Westeros and its surrounding lands has been so amazingly well thought through and is inhabited by characters that are so well drawn and credible that everything you watch feels real. Every ""country"", every city, tribe or family has such a richly detailed history and even mythology that it just never feels like it was made up. Of course, that was all already there in the books – but translating that so perfectly to a TV-show and with such care as was done here really is a rare achievement.

Yet for all its grandeur, scale and breath-taking visuals, what really makes Martin's outstanding work come to life on the small screen is the fantastic ensemble of actors. At the core of this show (any show, really) are the characters. Tyrion, Cersei, Dany, Jamie and John (and all the – many – others) don't lose anything of their complexity; the amazing cast succeeds in showing all their respective characters' inner conflicts and often questionable motivations and virtually no one comes across as one-dimensional (except maybe for Joffrey).

There have been a couple of great TV-shows over the last years, but when it comes to scale AND quality, 'Game of Thrones' is – at the moment – in a league of its own. A joy to watch: breath-taking, epic – and highly addictive – Television. 10 stars out of 10.

Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/

Favorite Films: http://www.IMDb.com/list/mkjOKvqlSBs/

Favorite Low-Budget and B-movies: http://www.imdb.com/list/ls054808375/

Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/"
5,"Seeing a review comparing this brilliant title to Lord of the Rings made me make an account here and post my very first review.

I had very high expectations from this series and I believed that it will (like most TV series) absolutely ruin the book. And I couldn't have been more wrong! Where do I start...

The cast is great, though not amazing with one exception - Sean Bean is perfect for the role of cold master of the North, Eddard Stark. The setting, the atmosphere is perfect and not boring at all! Some scenes are just amazing and are exactly as written in the book - for example the scene where they find the wolves, the nature and the dialogs are just as they should be. Now to get to the part most people are interested in: What is this? What can I expect of the series?

THIS IS NOT LORD OF THE RINGS. Now that I got that out, I can continue. The very idea behind the series is a lot different. It's based around great families on different sides of the world, the stories their members have to tell and the secrets they hide. And there are many secrets, You will have a chance to witness small portion of them in the first episode. If you cannot follow the story just yet, don't worry! It's meant to be like that, you will eventually get to know all the characters and get involved in the story so much you will BEG for next episode just to see what happens.

What to expect? Plots, love, action, war, hatred, quite a few surprises and much much more... All that after the first episode. I really hope they will not ruin it as the series progress.

Conclusion: Do not miss this! Yes YOU complaining that the book is better. And everyone else."
6,"First of all, I am a huge fan of the books, and I find it exhilarating to see a show that is so close to what I made in my mind while reading it.

I see some of the reviews are complaining about the sex and violence, to me that is like going to a restaurant, order a steak and complain about getting meat..

They keep true to the epically written book, and they depict the characters in an excellent way.

With a few exceptions I would say they have made what will be an epic show here, and I would really hope that they continue for all the books."
7,"This TV series is magnificent! I read a book and I must say that A Game Of Thrones is one of the best books I've read. So when I first heard that HBO will do a series on the this book I was thrilled but I was afraid that they will not be done exactly by the book. But I must say that I was wrong and that the series is better than I thought it would be. Much better!

While I watched the first episode I had the same excitement as the time when I first read the book. HBO has done a great job and they fulfill all my expectations. Sean Bean was born for the role of Eddard Stark. Costumes, scenes, actors, everything is done as it should be. Actors are perfect for the role they play in the series.

For me the biggest surprise of the series I figure Daenerys Targaryen. Emilia Clarke actress who plays Daenerys Targaryen is more beautiful than I imagined it would be and more beautiful than is described in the book.

The Wall is a lot different than I had imagined, but in a good way.

The series revolves around Eddard Stark and his family. He has a wife and five children, three sons and two daughters. Eddard Stark is ruler of the North and close friend of King Robert who needs his help in ruling the Seven Kingdoms.

The seven kingdoms, united under one ruler, have lived a life of peace and comfort since King Robert took the throne. But nothing is ever as it seems. Within the king's court there is murder and treason, with no one aware of what is really going on. Across the seas, the last remnants of the previous royal family gather forces to reclaim their throne. To the north, the unthinkable gathers, the creatures of myth and legend that have been forgotten."
8,"This show is superb! While I may be bias as the book series is my favourite book series of all, I still think the show itself is fantastic! It sticks loyally to the books and doesn't ""dumb things down"" for a wider audience. If you are worried you won't gain the same experience by watching the show before you read the books, fear not - It's the same experience, with a different medium!

Although, I guarantee, soon you will be so pulled into the world of Westeros you will run out and buy the books just to find out what happens next!

Sit back and enjoy, my friends - Winter is Coming!"
9,"Game of Thrones on HBO is a TV adaption of George R.R. Martin's books, a Song of Ice and Fire. For those fans who know and love the books, then you can't help but love the TV adaptation. It is difficult to translate books into movies or TV series, but HBO's GoT made it look easy. The characters, cast, scenery, costume, etc., all looked incredible, and gave me the feeling that I was inside the books themselves. Although not every little detail was translated perfectly, and nor should they be, the pilot episode was a grand achievement.

For all those Nay-Sayers out there: If you don't like the series, then you probably have never read the books or watched the countless behind the scenes trailers that helped those who didn't understand the complex storyline. Yes, this story is complex, its original, its fresh, and it is very exciting. The story line gets better with each episode. You also have to keep in mind that this story is an adult story, and as I said, it is complex. Simply put, HBO didn't dumb the story down, but rather remained true to the core of this epic fantasy. For those who have never read the books and found the pilot interesting, trust me it gets better and better. Stick with it."
